faculty,application,lowest_score,highest_score
دیپارتمنت عمومی پوهنځی طب پوهنتون علوم طبی کابل ابوعلی ابن سینا,40,348.0955,359.6118
دیپارتمنت تکنالوژی معلوماتی پوهنځی کمپیوتر ساینس پوهنتون کابل,40,321.8943,352.4335
دیپارتمنت سیول پوهنځی انجنیری پوهنتون کابل,40,317.699,351.4205
دیپارتمنت انجنیری نرم افزار پوهنځی کمپیوتر ساینس پوهنتون کابل,40,329.093,350.0448
دیپارتمنت ستوماتولوژی پوهنځی ستوماتولوژی پوهنتون علوم طبی کابل ابوعلی ابن سینا,40,320.1996,346.3129
دیپارتمنت منجمنت و ادارۀ تشبثات (BBA) پوهنځی اقتصاد پوهنتون کابل,40,308.0119,342.316
دیپارتمنت تکنالوژی معلوماتی پوهنځی کمپیوتر ساینس پوهنتون تعلیم و تربیه کابل,40,296.7164,340.3126
دیپارتمنت عمومی پوهنځی فارمسی پوهنتون کابل,40,306.6807,339.7502
دیپارتمنت برق و الکترونیک پوهنځی انجنیری پوهنتون کابل,40,289.6579,336.9989
دیپارتمنت عمومی پوهنځی صحت عامه پوهنتون علوم طبی کابل ابوعلی ابن سینا,40,312.5915,330.0625
دیپارتمنت سیستم های معلوماتی پوهنځی کمپیوتر ساینس پوهنتون پولی تخنیک کابل,40,305.0498,329.8206
دیپارتمنت اقتصاد ملی پوهنځی اقتصاد پوهنتون کابل,40,278.7597,329.5794
دیپارتمنت انجنیری شبکه پوهنځی کمپیوتر ساینس پوهنتون پولی تخنیک کابل,40,302.7617,329.3581
دیپارتمنت میخانیک پوهنځی انجنیری پوهنتون کابل,40,271.0871,328.9179
دیپارتمنت سیستم های معلوماتی پوهنځی کمپیوتر ساینس پوهنتون کابل,40,308.6825,328.3015
دیپارتمنت انستیزی پوهنځی علوم متمم صحی پوهنتون علوم طبی کابل ابوعلی ابن سینا,40,306.5911,327.5197
دیپارتمنت مهندسی پوهنځی انجنیری پوهنتون کابل,40,294.5921,324.1514
دیپارتمنت علوم سیاسی و روابط بین الملل پوهنځی حقوق و علوم سیاسی پوهنتون کابل,40,275.9085,322.5647
دیپارتمنت امورمالی و بانکی پوهنځی اقتصاد پوهنتون کابل,40,293.1368,322.4694
دیپارتمنت تکنالوژی لابراتوارطبی پوهنځی علوم متمم صحی پوهنتون علوم طبی کابل ابوعلی ابن سینا,40,294.4577,321.4865
دیپارتمنت محاسبه(Accounting) پوهنځی اقتصاد پوهنتون کابل,40,292.1907,320.8041
دیپارتمنت انجنیری کمپیوتر پوهنځی کمپیوتر ساینس پوهنتون پولی تخنیک کابل,40,290.9038,319.7911
دیپارتمنت انجنیری اتومیخانیک پوهنځی الکترومیخانیک پوهنتون پولی تخنیک کابل,40,256.1904,319.3824
دیپارتمنت مهندسی پوهنځی ساختمانی پوهنتون پولی تخنیک کابل,40,284.1863,319.3293
دیپارتمنت فزیوتراپی پوهنځی علوم متمم صحی پوهنتون علوم طبی کابل ابوعلی ابن سینا,40,281.1938,317.5127
دیپارتمنت پالیسی عامه پوهنځی اداره و پالیسی عامه پوهنتون کابل,40,255.1653,316.7096
دیپارتمنت تکنالوژی انجنیری طبی  پوهنځی علوم متمم صحی پوهنتون علوم طبی کابل ابوعلی ابن سینا,40,286.1243,316.5884
دیپارتمنت نرسنگ پوهنځی نرسنگ پوهنتون علوم طبی کابل ابوعلی ابن سینا,40,289.9449,316.3122
دیپارتمنت ساختمانهای صنعتی و مدنی پوهنځی ساختمانی پوهنتون پولی تخنیک کابل,40,279.7616,315.707
دیپارتمنت استخراج زیر زمینی معادن پوهنځی جیولوجی و معادن پوهنتون پولی تخنیک کابل,40,240.8125,315.6625
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون کابل (مدارس),40,240.2597,315.5522
دیپارتمنت انجنیری مخابرات پوهنځی تکنالوژی معلوماتی ومخابراتی پوهنتون کابل,40,283.5593,315.4531
