faculty,application,lowest_score,highest_score
دیپارتمنت عمومی (ذکور) پوهنځی طب پوهنتون علوم طبی کابل ابوعلی ابن سینا ,40,346.5841,355.328
دیپارتمنت ستوماتولوژی عمومی (ذکور) پوهنځی ستوماتولوژی پوهنتون علوم طبی کابل ابوعلی ابن سینا ,40,326.6906,346.7898
دیپارتمنت انستیزی (ذکور) پوهنځی علوم متمم صحی پوهنتون علوم طبی کابل ابوعلی ابن سینا ,40,293.1813,338.4111
دیپارتمنت عمومی (ذکور) پوهنځی صحت عامه پوهنتون علوم طبی کابل ابوعلی ابن سینا ,40,309.0829,331.1313
دیپارتمنت تکنالوژی لابراتوار طبی (ذکور) پوهنځی علوم متمم صحی پوهنتون علوم طبی کابل ابوعلی ابن سینا ,40,297.4372,320.92
دیپارتمنت نرسنگ (ذکور) پوهنځی نرسنگ و قابلگی پوهنتون علوم طبی کابل ابوعلی ابن سینا ,40,287.9101,314.1473
دیپارتمنت فزیوتراپی (ذکور) پوهنځی علوم متمم صحی پوهنتون علوم طبی کابل ابوعلی ابن سینا ,40,213.395,312.8867
دیپارتمنت قضا و څارنوالی (ذکور) پوهنځی حقوق و علوم سیاسی پوهنتون کابل ,40,292.7171,348.6444
دیپارتمنت تکنالوژی معلوماتی (ذکور) پوهنځی کمپیوتر ساینس پوهنتون کابل ,40,329.7794,346.7656
دیپارتمنت ادارۀ تربیتی (ذکور) پوهنځی روانشناسی و علوم تربیتی پوهنتون کابل ,50,199.6197,341.776
دیپارتمنت برق و الکترونیک (ذکور) پوهنځی انجنیری پوهنتون کابل ,50,291.3696,340.2415
دیپارتمنت منجمنت و ادارۀ تشبثات (BBA) (ذکور) پوهنځی اقتصاد پوهنتون کابل ,50,317.2108,339.8763
دیپارتمنت سیول (ذکور) پوهنځی انجنیری پوهنتون کابل ,50,322.6162,339.5793
دیپارتمنت محاسبه (Accounting) (ذکور) پوهنځی اقتصاد پوهنتون کابل ,50,294.6839,338.4551
دیپارتمنت سیستم های معلوماتی (ذکور) پوهنځی کمپیوتر ساینس پوهنتون کابل ,50,319.138,332.0223
دیپارتمنت عمومی (ذکور) پوهنځی فارمسی پوهنتون کابل ,50,306.2493,331.8408
دیپارتمنت زبان و ادبیات انگلیسی (ذکور) پوهنځی زبانهای خارجی پوهنتون کابل ,50,270.034,327.0338
دیپارتمنت امورمالی و بانکی (ذکور) پوهنځی اقتصاد پوهنتون کابل ,50,282.695,325.9327
دیپارتمنت احصائیه و ایکونومتری (ذکور) پوهنځی اقتصاد پوهنتون کابل ,50,265.0851,322.7295
دیپارتمنت مهندسی (ذکور) پوهنځی انجنیری پوهنتون کابل ,50,295.9027,322.2763
دیپارتمنت ادارۀ عامه (ذکور) پوهنځی اداره و پالیسی عامه پوهنتون کابل ,50,289.834,322.2026
دیپارتمنت اقتصاد ملی (ذکور) پوهنځی اقتصاد پوهنتون کابل ,50,281.9624,320.1445
دیپارتمنت اداره و دیپلوماسی (ذکور) پوهنځی حقوق و علوم سیاسی پوهنتون کابل ,50,290.9802,320.073
دیپارتمنت انرژی (ذکور) پوهنځی انجنیری پوهنتون کابل ,50,262.312,317.9247
دیپارتمنت میخانیک (ذکور) پوهنځی انجنیری پوهنتون کابل ,50,275.6132,313.2563
دیپارتمنت فقه و قانون (ذکور) پوهنځی شرعیات پوهنتون کابل ,50,245.8813,311.4424
دیپارتمنت انجنیری کمیونیکیشن (ذکور) پوهنځی تکنالوژی معلوماتی و مخابراتی پوهنتون کابل ,50,260.6268,310.9848
دیپارتمنت زبان و ادبیات فارسی دری (ذکور) پوهنځی زبان و ادبیات ملی پوهنتون کابل ,50,213.8097,304.9634
دیپارتمنت روابط عامه (ذکور) پوهنځی ارتباطات و ژورنالیزم پوهنتون کابل ,50,240.8664,304.8226
دیپارتمنت عمومی (ذکور) پوهنځی بیولوژی پوهنتون کابل ,50,199.8925,303.705
دیپارتمنت تعلیمات اسلامی (ذکور) پوهنځی شرعیات پوهنتون کابل ,50,235.9252,303.6412
دیپارتمنت مدیریت توسعه و انکشاف (ذکور) پوهنځی اداره و پالیسی عامه پوهنتون کابل ,50,275.072,303.2056
دیپارتمنت عمومی (ذکور) پوهنځی ریاضیات پوهنتون کابل ,50,241.8124,302.5863
دیپارتمنت ژورنالیزم (ذکور) پوهنځی ارتباطات و ژورنالیزم پوهنتون کابل ,60,272.3704,299.4953
دیپارتمنت پالیسی عامه (ذکور) پوهنځی اداره و پالیسی عامه پوهنتون کابل ,60,278.9143,297.1347
دیپارتمنت زبان و ادبیات چینایی (ذکور) پوهنځی زبانهای خارجی پوهنتون کابل ,60,214.616,296.7915
دیپارتمنت عمومی (ذکور) پوهنځی کیمیا پوهنتون کابل ,60,200.4623,296.5462
دیپارتمنت گرافیک دیزاین (ذکور) پوهنځی هنرهای زیبا پوهنتون کابل ,60,249.497,295.8774
دیپارتمنت حفاظت محیط زیست (ذکور) پوهنځی محیط زیست پوهنتون کابل ,60,206.1636,293.6103
دیپارتمنت بایوتکنالوژی و تولید تخم های بذری (ذکور) پوهنځی زراعت پوهنتون کابل ,60,184.4155,291.5313
دیپارتمنت پلان و پالیسی (ذکور) پوهنځی روانشناسی و علوم تربیتی پوهنتون کابل ,60,206.7081,291.0022
